attempted,provider,endpoint_family,mandatory_family,critical,ticker,attempted_url_redacted,http_status,response_type,row_count,result,status,error_type,error_message_sanitized,likely_cause,next_action
True,Financial Modeling Prep,earnings_surprises,broad_earnings_surprise,True,AAPL,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>,200,list,164,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,earnings_surprises,broad_earnings_surprise,True,MSFT,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>,200,list,164,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,earnings_surprises,broad_earnings_surprise,True,NVDA,https://financialmodelingprep.com/stable/earnings?symbol=NVDA&<API_KEY_REDACTED>,200,list,109,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,earnings_calendar,earnings_calendar,True,AAPL,https://financialmodelingprep.com/stable/earnings?symbol=AAPL&<API_KEY_REDACTED>,200,list,164,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,earnings_calendar,earnings_calendar,True,MSFT,https://financialmodelingprep.com/stable/earnings?symbol=MSFT&<API_KEY_REDACTED>,200,list,164,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,earnings_calendar,earnings_calendar,True,NVDA,https://financialmodelingprep.com/stable/earnings?symbol=NVDA&<API_KEY_REDACTED>,200,list,109,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,analyst_estimates,analyst_estimates,True,AAPL,https://financialmodelingprep.com/stable/analyst-estimates?symbol=AAPL&period=annual&<API_KEY_REDACTED>,200,list,10,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,analyst_estimates,analyst_estimates,True,MSFT,https://financialmodelingprep.com/stable/analyst-estimates?symbol=MSFT&period=annual&<API_KEY_REDACTED>,200,list,10,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,analyst_estimates,analyst_estimates,True,NVDA,https://financialmodelingprep.com/stable/analyst-estimates?symbol=NVDA&period=annual&<API_KEY_REDACTED>,200,list,10,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,analyst_recommendations,analyst_recommendations,True,AAPL,https://financialmodelingprep.com/stable/grades?symbol=AAPL&<API_KEY_REDACTED>,200,list,1770,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,analyst_recommendations,analyst_recommendations,True,MSFT,https://financialmodelingprep.com/stable/grades?symbol=MSFT&<API_KEY_REDACTED>,200,list,938,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
True,Financial Modeling Prep,analyst_recommendations,analyst_recommendations,True,NVDA,https://financialmodelingprep.com/stable/grades?symbol=NVDA&<API_KEY_REDACTED>,200,list,1130,success,ACCESS_VERIFIED,,,accessible,Entitled and returning data; promote to Phase 5-E1 controlled backfill.
