batch_id,ticker,endpoint_name,status,http_status,error_type,error_message_sanitized,likely_cause,next_action,row_count,raw_file_path,normalized_file_path,request_url_redacted,collected_at_utc
core_batch_001,AAPL,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/AAPL.json,,https://financialmodelingprep.com/stable/profile?symbol=AAPL&<API_KEY_REDACTED>,
core_batch_001,ABBV,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/ABBV.json,,https://financialmodelingprep.com/stable/profile?symbol=ABBV&<API_KEY_REDACTED>,
core_batch_001,ABT,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/ABT.json,,https://financialmodelingprep.com/stable/profile?symbol=ABT&<API_KEY_REDACTED>,
core_batch_001,ACN,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/ACN.json,,https://financialmodelingprep.com/stable/profile?symbol=ACN&<API_KEY_REDACTED>,
core_batch_001,ADBE,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/ADBE.json,,https://financialmodelingprep.com/stable/profile?symbol=ADBE&<API_KEY_REDACTED>,
core_batch_001,ADI,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/ADI.json,,https://financialmodelingprep.com/stable/profile?symbol=ADI&<API_KEY_REDACTED>,
core_batch_001,ADP,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/ADP.json,,https://financialmodelingprep.com/stable/profile?symbol=ADP&<API_KEY_REDACTED>,
core_batch_001,AMAT,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/AMAT.json,,https://financialmodelingprep.com/stable/profile?symbol=AMAT&<API_KEY_REDACTED>,
core_batch_001,AMD,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/AMD.json,,https://financialmodelingprep.com/stable/profile?symbol=AMD&<API_KEY_REDACTED>,
core_batch_001,AMGN,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/AMGN.json,,https://financialmodelingprep.com/stable/profile?symbol=AMGN&<API_KEY_REDACTED>,
core_batch_001,AMZN,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/AMZN.json,,https://financialmodelingprep.com/stable/profile?symbol=AMZN&<API_KEY_REDACTED>,
core_batch_001,AON,company_profile,planned,,,,"not executed yet (dry-run, or the --max-requests budget was reached)","run a live batch or raise --max-requests, then resume with --skip-existing",0,research/data/fmp/raw/company_profile/AON.json,,https://financialmodelingprep.com/stable/profile?symbol=AON&<API_KEY_REDACTED>,
